UUID,Fully specified name:es,Same as mappings,Data class,Data type,Members
c081a937-c786-4b9c-92da-fa17ea3a1f89,BATERÍA METABÓLICA BÁSICA,SES Lab:80048,Test,N/A,
ef1c3cb9-bf8a-4693-b3f8-675180e4d009,ELECTROLITOS SÉRICOS,SES Lab:80051,Test,N/A,
3043fe66-2986-40b9-ab86-6660f28482ac,"PERFIL PRENATAL: HEMOGRAMA DE TERCERA GENERACIÓN, GRUPO SANGUÍNEO, GLUCOSA, VDRL, HIV, EXAMEN DE ORINA, RUBÉOLA",SES Lab:80055,Test,N/A,
e06ee11d-5d89-4396-95ad-60d820777547,"PERFIL PREOPERATORIO: HEMOGRAMA DE TERCERA GENERACIÓN, GRUPO SANGUÍNEO, FACTOR RH, TIEMPO DE COAGULACIÓN Y SANGRÍA, TIEMPO DE PROTROMBINA, GLUCOSA, HIV, VDRL, EXAMEN COMPLETO DE ORINA",SES Lab:80057,Test,N/A,
02435680-da4e-4984-bcd0-bb2e5739e464,"BATERÍA DE HEPATITIS:ANTÍGENO DE SUPERFICIE DE LA HEPATITIS B (HBSAG), ANTICUERPO CONTRA EL ANTÍGENO DE SUPERFICIE DE LA HEPATITIS B (HBSAB),ANTICUERPO CONTRA EL ANTÍGENO DE LA NUCLEOCÁPSIDE DE LA HEPATITIS B (HBCAB), IGG E IGM ,ANTICUERPO CONTRA LA HEPAT",SES Lab:80058,Test,N/A,
64ebaa0e-b26b-4c30-aa66-7b5f2bb3f1d1,PERFIL LIPÍDICO,SES Lab:80061,Test,N/A,
4eaa7aa0-9a42-4d2e-9c17-b2f4a88413d5,"PERFIL CARDÍACO: CPK, CPK-MB, DHL, TGO",SES Lab:80062,Test,N/A,
b45ebc4d-28e5-46d8-913d-6dd6c615bc90,PERFIL DE COAGULACIÓN BÁSICO,SES Lab:80063,Test,N/A,
e84a250f-053d-4e8c-a2ae-72dec15997b4,PERFIL REUMATOIDEO,SES Lab:80072,Test,N/A,
460a029d-e60f-4815-a420-18ebdf077fce,PERFIL HEPÁTICO,SES Lab:80076,Test,N/A,
2359a69e-a063-4867-80f3-75b308e06dee,ESTUDIO HISTOQUÍMICO DE LÍQUIDO PLEURAL,SES Lab:80077,Test,N/A,
8c98b6f3-58a4-4f27-a487-315fd1f02f68,PERFIL DE INGRESO INMUNOLOGIA,SES Lab:80089,Test,N/A,
